iter	Passed	Remaining
631	1097	639
632	1099	637
633	1100	635
634	1102	633
635	1104	632
636	1105	630
637	1107	628
638	1109	626
639	1110	624
640	1112	623
641	1114	621
642	1115	619
643	1117	617
644	1119	616
645	1121	614
646	1123	612
647	1124	610
648	1126	609
649	1127	607
650	1130	605
651	1132	604
652	1133	602
653	1135	600
654	1137	599
655	1138	597
656	1140	595
657	1142	593
658	1144	592
659	1145	590
660	1147	588
661	1149	586
662	1151	585
663	1153	583
664	1154	581
665	1156	579
666	1158	578
667	1159	576
668	1161	574
669	1162	572
670	1164	571
671	1166	569
672	1168	567
673	1170	566
674	1172	564
675	1173	562
676	1175	560
677	1177	559
678	1179	557
679	1180	555
680	1183	554
681	1184	552
682	1186	550
683	1188	548
684	1189	547
685	1191	545
686	1193	543
687	1194	541
688	1196	540
689	1198	538
690	1200	536
691	1201	534
692	1203	533
693	1204	531
694	1206	529
695	1208	527
696	1209	525
697	1211	524
698	1213	522
699	1215	520
700	1216	519
701	1218	517
702	1220	515
703	1222	513
704	1223	512
705	1225	510
706	1227	508
707	1228	506
708	1230	505
709	1232	503
710	1234	501
711	1235	499
712	1237	498
713	1239	496
714	1241	494
715	1242	493
716	1244	491
717	1246	489
718	1247	487
719	1249	485
720	1251	484
721	1252	482
722	1254	480
723	1256	478
724	1258	477
725	1260	475
726	1262	473
727	1263	472
728	1265	470
729	1267	468
730	1268	466
731	1270	465
732	1271	463
733	1273	461
734	1275	459
735	1277	458
736	1278	456
737	1280	454
738	1282	452
739	1283	451
740	1285	449
741	1287	447
742	1289	446
743	1291	444
744	1292	442
745	1294	440
746	1296	438
747	1297	437
748	1299	435
749	1301	433
750	1303	432
751	1305	430
752	1307	428
753	1309	427
754	1310	425
755	1312	423
756	1314	421
757	1315	420
758	1317	418
759	1319	416
760	1321	415
761	1323	413
762	1325	411
763	1327	409
764	1328	408
765	1330	406
766	1332	404
767	1334	402
768	1335	401
769	1337	399
770	1339	397
771	1340	395
772	1342	394
773	1344	392
774	1345	390
775	1347	389
776	1349	387
777	1350	385
778	1352	383
779	1354	381
780	1355	380
781	1357	378
782	1359	376
783	1360	374
784	1362	373
785	1364	371
786	1366	369
787	1367	367
788	1369	366
789	1371	364
790	1373	362
791	1374	361
792	1376	359
793	1378	357
794	1380	355
795	1381	354
796	1383	352
797	1385	350
798	1387	348
799	1389	347
800	1391	345
801	1392	343
802	1394	342
803	1396	340
804	1397	338
805	1399	336
806	1400	335
807	1402	333
808	1404	331
809	1406	329
810	1407	328
811	1410	326
812	1412	324
813	1413	323
814	1415	321
815	1417	319
816	1419	317
817	1421	316
818	1422	314
819	1424	312
820	1426	310
821	1427	309
822	1429	307
823	1431	305
824	1433	303
825	1434	302
826	1436	300
827	1438	298
828	1440	297
829	1441	295
830	1443	293
831	1445	291
832	1447	290
833	1449	288
834	1450	286
835	1452	284
836	1454	283
837	1455	281
838	1457	279
839	1459	277
840	1460	276
841	1462	274
842	1463	272
843	1465	270
844	1467	269
845	1469	267
846	1471	265
847	1474	264
848	1476	262
849	1478	260
850	1479	259
851	1481	257
852	1483	255
853	1484	253
854	1486	252
855	1488	250
856	1490	248
857	1492	246
858	1493	245
859	1495	243
860	1497	241
861	1498	239
862	1500	238
863	1502	236
864	1504	234
865	1505	232
866	1507	231
867	1509	229
868	1511	227
869	1513	226
870	1514	224
871	1516	222
872	1518	220
873	1520	219
